-19.638000,2.368000,104.772000,-179.516000,1.252000,137.760000,
-19.759000,2.525000,104.763000,-179.490000,1.282000,136.648000,
-19.880000,2.688000,104.754000,-179.464000,1.312000,135.564000,
-20.001000,2.860000,104.745000,-179.438000,1.340000,134.508000,
-20.122000,3.039000,104.736000,-179.412000,1.367000,133.478000,
-20.240000,3.225000,104.728000,-179.387000,1.391000,132.471000,
-20.358000,3.418000,104.721000,-179.363000,1.413000,131.482000,
-20.475000,3.617000,104.714000,-179.339000,1.434000,130.511000,
-20.592000,3.823000,104.707000,-179.316000,1.453000,129.559000,
-20.710000,4.035000,104.701000,-179.293000,1.471000,128.624000,
-20.823000,4.242000,104.695000,-179.271000,1.487000,127.752000,
-20.943000,4.465000,104.689000,-179.248000,1.504000,126.851000,
-21.066000,4.694000,104.683000,-179.224000,1.521000,125.967000,
-21.192000,4.928000,104.677000,-179.201000,1.538000,125.099000,
-21.321000,5.168000,104.670000,-179.177000,1.556000,124.249000,
-21.453000,5.415000,104.664000,-179.153000,1.575000,123.427000,
-21.587000,5.671000,104.658000,-179.128000,1.594000,122.636000,
-21.722000,5.937000,104.652000,-179.103000,1.615000,121.878000,
-21.857000,6.213000,104.646000,-179.078000,1.635000,121.155000,
-21.990000,6.500000,104.640000,-179.053000,1.655000,120.468000,
-22.118000,6.791000,104.635000,-179.030000,1.674000,119.831000,
-22.226000,7.051000,104.631000,-179.011000,1.690000,119.312000,
-22.313000,7.274000,104.628000,-178.995000,1.702000,118.900000,
-22.431000,7.598000,104.624000,-178.975000,1.718000,118.352000,
-22.528000,7.887000,104.622000,-178.958000,1.731000,117.910000,
-22.602000,8.124000,104.620000,-178.946000,1.740000,117.572000,
-22.692000,8.429000,104.618000,-178.931000,1.750000,117.171000,
-22.762000,8.680000,104.617000,-178.920000,1.757000,116.866000,
-22.845000,9.001000,104.617000,-178.908000,1.765000,116.506000,
-22.909000,9.265000,104.616000,-178.898000,1.772000,116.235000,
-22.985000,9.602000,104.616000,-178.887000,1.779000,115.918000,
-23.044000,9.878000,104.616000,-178.878000,1.784000,115.682000,
-23.114000,10.232000,104.616000,-178.868000,1.791000,115.409000,
-23.168000,10.520000,104.617000,-178.860000,1.797000,115.209000,
-23.231000,10.889000,104.617000,-178.850000,1.804000,114.981000,
-23.280000,11.188000,104.618000,-178.843000,1.809000,114.813000,
-23.341000,11.564000,104.619000,-178.834000,1.816000,114.603000,
